epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.4808,3.22391,4.40873,1.01855,0.00221,0.0503,0.00228,0.00057,3.15147,5.13711,0.89444,0.00038,0.00038,0.00038
2,161.656,2.93882,2.79846,0.97131,0.00509,0.11588,0.00372,0.00119,3.12113,4.5577,0.92072,0.00075426,0.00075426,0.00075426
3,252.923,2.94498,2.37335,0.96239,0.00932,0.21228,0.01776,0.00611,2.9956,4.21683,0.90133,0.00110212,0.00110212,0.00110212
4,340.107,2.99685,2.33461,0.93594,0.01122,0.25567,0.07577,0.02298,3.2677,3.89023,0.89248,0.00142358,0.00142358,0.00142358
5,419.123,2.82054,2.11716,0.92616,0.58411,0.13979,0.18531,0.04958,3.05357,2.79394,0.90831,0.00171864,0.00171864,0.00171864
6,498.614,2.87251,1.98259,0.9099,0.38413,0.27388,0.20593,0.056,2.9636,2.37343,0.89214,0.00167,0.00167,0.00167
7,577.59,2.79454,1.83855,0.92401,0.4285,0.29043,0.23388,0.06643,2.92592,2.0871,0.88679,0.001604,0.001604,0.001604
8,655.113,2.75444,1.80401,0.91263,0.43426,0.29167,0.24355,0.07357,2.77586,1.88025,0.87281,0.001538,0.001538,0.001538
9,732.845,2.68533,1.70684,0.92647,0.45794,0.30325,0.24514,0.06923,2.83718,1.74255,0.87945,0.001472,0.001472,0.001472
10,811.02,2.75991,1.61288,0.91608,0.44798,0.31583,0.24353,0.06124,2.85969,1.81166,0.87112,0.001406,0.001406,0.001406
11,888.516,2.62212,1.53968,0.91684,0.45826,0.34871,0.28995,0.08453,2.76583,1.79963,0.86392,0.00134,0.00134,0.00134
12,966.423,2.58505,1.43305,0.91176,0.4643,0.3342,0.28623,0.08314,2.75351,1.70335,0.85982,0.001274,0.001274,0.001274
13,1043.47,2.65932,1.47017,0.90363,0.5498,0.36553,0.32687,0.09311,2.61624,1.47556,0.85299,0.001208,0.001208,0.001208
14,1121.2,2.48751,1.34292,0.91126,0.51267,0.36095,0.3163,0.08614,2.68817,1.54508,0.85212,0.001142,0.001142,0.001142
15,1198.52,2.57398,1.3675,0.90208,0.53039,0.38708,0.34137,0.09816,2.62406,1.38235,0.85028,0.001076,0.001076,0.001076
16,1275.13,2.4818,1.26753,0.89468,0.55505,0.37648,0.34777,0.10264,2.59981,1.36217,0.84742,0.00101,0.00101,0.00101
17,1352.07,2.55713,1.3044,0.87972,0.56749,0.4008,0.37595,0.11425,2.50899,1.27696,0.843,0.000944,0.000944,0.000944
18,1427.95,2.45478,1.25724,0.88703,0.56309,0.39892,0.372,0.11772,2.51831,1.2842,0.8373,0.000878,0.000878,0.000878
19,1505.89,2.49423,1.29885,0.88008,0.5825,0.40488,0.38649,0.11945,2.4919,1.34727,0.84127,0.000812,0.000812,0.000812
20,1582.52,2.51059,1.26372,0.87199,0.50975,0.38067,0.3276,0.0914,2.62878,1.35133,0.85045,0.000746,0.000746,0.000746
21,1657.98,2.51899,1.32148,0.87985,0.56537,0.37574,0.35899,0.1107,2.56213,1.26099,0.85066,0.00068,0.00068,0.00068
22,1733.2,2.40902,1.2613,0.89487,0.56773,0.38462,0.35851,0.10749,2.53159,1.36264,0.84801,0.000614,0.000614,0.000614
23,1807.85,2.38139,1.23523,0.89996,0.58261,0.39029,0.36634,0.1135,2.55665,1.24366,0.84241,0.000548,0.000548,0.000548
24,1883.05,2.39683,1.21067,0.87669,0.57855,0.41543,0.38969,0.11973,2.48902,1.22904,0.83716,0.000482,0.000482,0.000482
25,1957.14,2.35153,1.18881,0.88253,0.56783,0.42036,0.39494,0.12986,2.45475,1.1858,0.83469,0.000416,0.000416,0.000416
26,2030.85,2.36105,1.18804,0.87449,0.57697,0.43664,0.40524,0.1298,2.41848,1.22921,0.83556,0.00035,0.00035,0.00035
27,2105.36,2.26278,1.14873,0.87551,0.58591,0.43886,0.41622,0.13395,2.4148,1.18499,0.83316,0.000284,0.000284,0.000284
28,2179.55,2.22199,1.14496,0.8658,0.59348,0.43625,0.42404,0.1414,2.38384,1.16302,0.83165,0.000218,0.000218,0.000218
29,2254.21,2.2956,1.11522,0.88,0.58841,0.43664,0.42282,0.14146,2.39199,1.15733,0.83157,0.000152,0.000152,0.000152
30,2329.17,2.24657,1.11321,0.87107,0.60385,0.43762,0.42737,0.1412,2.37607,1.13823,0.83063,8.6e-05,8.6e-05,8.6e-05
