epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.5278,3.16942,4.61523,0.98388,0.00386,0.08802,0.00268,0.00072,3.62436,5.61927,0.89797,0.00038,0.00038,0.00038
2,159.744,2.8789,2.90999,0.95488,0.0026,0.05917,0.0015,0.00041,3.22988,5.03366,0.88607,0.00075426,0.00075426,0.00075426
3,239.945,2.909,2.54164,0.9477,0.00402,0.09147,0.0024,0.00078,3.16056,4.83192,0.89219,0.00110212,0.00110212,0.00110212
4,320.797,2.9859,2.55663,0.92301,0.01245,0.28353,0.01344,0.00376,3.30052,4.23673,0.87835,0.00142358,0.00142358,0.00142358
5,400.665,2.80804,2.25341,0.914,0.25182,0.21534,0.10499,0.02991,3.29664,3.53983,0.87451,0.00171864,0.00171864,0.00171864
6,480.657,2.77887,2.06293,0.89883,0.45536,0.10059,0.12965,0.03855,3.05133,3.07208,0.88699,0.00167,0.00167,0.00167
7,561.193,2.77328,1.936,0.9165,0.47786,0.1642,0.17226,0.0542,3.0381,2.672,0.87442,0.001604,0.001604,0.001604
8,642.368,2.74232,1.90825,0.90827,0.4535,0.29093,0.24721,0.06972,2.82949,2.11112,0.88006,0.001538,0.001538,0.001538
9,722.236,2.6803,1.77819,0.91834,0.4587,0.30054,0.24514,0.07087,2.88919,1.97643,0.90028,0.001472,0.001472,0.001472
10,802.297,2.81546,1.68901,0.92222,0.43362,0.25838,0.19565,0.04885,3.08791,2.0817,0.89308,0.001406,0.001406,0.001406
11,882.521,2.74486,1.70082,0.92122,0.51762,0.35133,0.31226,0.09134,2.70508,1.78645,0.8623,0.00134,0.00134,0.00134
12,963.102,2.59385,1.53264,0.91602,0.45732,0.33409,0.27547,0.0806,2.79507,1.74762,0.85372,0.001274,0.001274,0.001274
13,1042.67,2.7351,1.57106,0.9037,0.51669,0.38483,0.33521,0.09536,2.69109,1.59003,0.86305,0.001208,0.001208,0.001208
14,1123.09,2.56791,1.43961,0.91511,0.53672,0.35355,0.32521,0.09819,2.63374,1.60313,0.85474,0.001142,0.001142,0.001142
15,1202.25,2.57227,1.48629,0.90196,0.4951,0.35182,0.30556,0.0911,2.70326,1.51484,0.85152,0.001076,0.001076,0.001076
16,1282.75,2.48721,1.38683,0.89308,0.53201,0.36859,0.33,0.10062,2.6015,1.46879,0.85388,0.00101,0.00101,0.00101
17,1362.62,2.60539,1.39625,0.88734,0.55971,0.37623,0.34292,0.10184,2.6004,1.4432,0.85111,0.000944,0.000944,0.000944
18,1441.38,2.46354,1.36117,0.88272,0.53991,0.35626,0.3312,0.1035,2.59633,1.45645,0.84295,0.000878,0.000878,0.000878
19,1520.95,2.49197,1.38107,0.88494,0.54284,0.37327,0.32265,0.09709,2.58596,1.4686,0.85207,0.000812,0.000812,0.000812
20,1599.39,2.5536,1.38539,0.87925,0.55118,0.40508,0.36604,0.10775,2.54067,1.37287,0.84306,0.000746,0.000746,0.000746
21,1676.66,2.58354,1.47236,0.88004,0.54836,0.37574,0.35713,0.11183,2.54703,1.40058,0.84403,0.00068,0.00068,0.00068
22,1754.05,2.38118,1.36583,0.8881,0.53905,0.38585,0.35097,0.10527,2.58544,1.3381,0.85007,0.000614,0.000614,0.000614
23,1831.46,2.32735,1.30109,0.8949,0.54078,0.39224,0.36472,0.11485,2.52432,1.3368,0.8389,0.000548,0.000548,0.000548
24,1908.72,2.38007,1.31249,0.87355,0.56408,0.43171,0.39908,0.1236,2.47214,1.28538,0.83791,0.000482,0.000482,0.000482
25,1985.06,2.3418,1.27159,0.88464,0.58697,0.43195,0.40752,0.12486,2.44579,1.2708,0.83677,0.000416,0.000416,0.000416
26,2061.64,2.35097,1.27114,0.88011,0.58006,0.41765,0.39724,0.12587,2.45968,1.26519,0.83858,0.00035,0.00035,0.00035
27,2138.58,2.28899,1.23521,0.87811,0.578,0.42702,0.40097,0.12832,2.44858,1.26116,0.8357,0.000284,0.000284,0.000284
28,2215.58,2.23736,1.24286,0.86864,0.59078,0.42678,0.40888,0.13201,2.43974,1.22344,0.83339,0.000218,0.000218,0.000218
29,2292.93,2.29691,1.19224,0.8751,0.58869,0.42169,0.40556,0.13136,2.44264,1.21876,0.83365,0.000152,0.000152,0.000152
30,2370.41,2.27556,1.20594,0.86893,0.60279,0.42727,0.4199,0.13685,2.41559,1.2068,0.83283,8.6e-05,8.6e-05,8.6e-05
