beach_id,timestamp,day,is_holiday,weather,sea_temp,wave_height,wind_speed,crowdedness_percentage
1,2025-05-26 00:00:00,Monday,1,3.0,66.6,3.67,4.6,0.0
2,2025-05-26 00:00:00,Monday,1,3.0,66.9,3.81,2.8,0.0
1,2025-05-26 01:00:00,Monday,1,3.0,66.6,3.67,2.3,0.0
2,2025-05-26 01:00:00,Monday,1,45.0,66.9,3.81,2.61,0.0
1,2025-05-26 02:00:00,Monday,1,3.0,66.6,3.67,1.93,0.0
2,2025-05-26 02:00:00,Monday,1,45.0,66.9,3.81,2.17,0.0
1,2025-05-26 03:00:00,Monday,1,3.0,66.4,3.67,1.86,0.0
2,2025-05-26 03:00:00,Monday,1,3.0,66.9,3.81,1.62,0.0
1,2025-05-26 04:00:00,Monday,1,3.0,66.4,3.74,1.49,0.0
2,2025-05-26 04:00:00,Monday,1,45.0,66.7,3.81,2.05,0.0
1,2025-05-26 05:00:00,Monday,1,3.0,66.4,3.74,2.55,0.0
2,2025-05-26 05:00:00,Monday,1,3.0,66.7,3.81,1.12,0.0
1,2025-05-26 06:00:00,Monday,1,3.0,66.4,3.67,2.61,0.0
2,2025-05-26 06:00:00,Monday,1,45.0,66.7,3.81,0.87,0.0
1,2025-05-26 07:00:00,Monday,1,3.0,66.4,3.67,0.99,79.0
2,2025-05-26 07:00:00,Monday,1,3.0,66.7,3.74,1.93,93.0
1,2025-05-26 08:00:00,Monday,1,3.0,66.4,3.61,5.72,98.0
2,2025-05-26 08:00:00,Monday,1,3.0,66.7,3.74,3.36,74.0
1,2025-05-26 09:00:00,Monday,1,3.0,66.4,3.35,7.02,48.0
2,2025-05-26 09:00:00,Monday,1,3.0,66.9,3.54,2.42,68.0
1,2025-05-26 10:00:00,Monday,1,3.0,66.6,3.02,5.47,96.0
2,2025-05-26 10:00:00,Monday,1,3.0,66.9,3.35,5.16,73.0
1,2025-05-26 11:00:00,Monday,1,3.0,66.6,2.76,2.61,63.0
2,2025-05-26 11:00:00,Monday,1,3.0,66.9,3.15,5.84,83.0
1,2025-05-26 12:00:00,Monday,1,3.0,66.6,2.89,5.53,87.0
2,2025-05-26 12:00:00,Monday,1,3.0,67.1,3.22,7.02,40.0
1,2025-05-26 13:00:00,Monday,1,3.0,66.7,3.02,4.66,96.0
2,2025-05-26 13:00:00,Monday,1,2.0,67.1,3.28,7.83,53.0
1,2025-05-26 14:00:00,Monday,1,3.0,66.9,3.15,6.03,35.0
2,2025-05-26 14:00:00,Monday,1,1.0,67.3,3.35,8.2,39.0
1,2025-05-26 15:00:00,Monday,1,3.0,66.9,3.15,7.02,43.0
2,2025-05-26 15:00:00,Monday,1,0.0,67.3,3.41,9.76,50.0
1,2025-05-26 16:00:00,Monday,1,3.0,67.1,3.22,4.47,63.0
2,2025-05-26 16:00:00,Monday,1,1.0,67.5,3.41,8.45,57.0
1,2025-05-26 17:00:00,Monday,1,2.0,67.1,3.22,7.83,44.0
2,2025-05-26 17:00:00,Monday,1,0.0,67.6,3.48,7.15,56.0
1,2025-05-26 18:00:00,Monday,1,3.0,67.1,3.28,3.67,61.0
2,2025-05-26 18:00:00,Monday,1,2.0,67.6,3.48,7.02,56.0
1,2025-05-26 19:00:00,Monday,1,3.0,67.1,3.28,5.34,66.0
2,2025-05-26 19:00:00,Monday,1,1.0,67.6,3.41,6.09,33.0
1,2025-05-26 20:00:00,Monday,1,3.0,66.9,3.35,5.84,71.0
2,2025-05-26 20:00:00,Monday,1,3.0,67.5,3.41,3.6,92.0
1,2025-05-26 21:00:00,Monday,1,3.0,66.9,3.61,3.48,0.0
2,2025-05-26 21:00:00,Monday,1,3.0,67.3,3.48,3.17,0.0
1,2025-05-26 22:00:00,Monday,1,3.0,66.9,3.81,2.8,0.0
2,2025-05-26 22:00:00,Monday,1,3.0,67.3,3.54,0.93,0.0
1,2025-05-26 23:00:00,Monday,1,3.0,66.9,4.07,4.66,0.0
2,2025-05-26 23:00:00,Monday,1,3.0,67.3,3.61,1.8,0.0
1,2025-05-25 00:00:00,Sunday,0,0.0,66.4,3.74,1.93,0.0
2,2025-05-25 00:00:00,Sunday,0,3.0,66.6,3.87,2.55,0.0
1,2025-05-25 01:00:00,Sunday,0,1.0,66.2,3.74,5.03,0.0
2,2025-05-25 01:00:00,Sunday,0,3.0,66.6,3.87,1.43,0.0
1,2025-05-25 02:00:00,Sunday,0,3.0,66.2,3.74,7.08,0.0
2,2025-05-25 02:00:00,Sunday,0,3.0,66.6,3.87,3.11,0.0
1,2025-05-25 03:00:00,Sunday,0,2.0,66.2,3.74,2.92,0.0
2,2025-05-25 03:00:00,Sunday,0,3.0,66.4,3.87,3.85,0.0
1,2025-05-25 04:00:00,Sunday,0,3.0,66.2,3.81,6.65,0.0
2,2025-05-25 04:00:00,Sunday,0,3.0,66.4,3.87,3.6,0.0
1,2025-05-25 05:00:00,Sunday,0,3.0,66.2,3.81,6.52,0.0
2,2025-05-25 05:00:00,Sunday,0,3.0,66.4,3.87,3.6,0.0
1,2025-05-25 06:00:00,Sunday,0,3.0,66.2,3.81,4.54,0.0
