timestamp,hour,day_of_week,is_holiday,weather,wave_quality,temperature,crowdedness
2024-01-01 00:00:00,0,Monday,1,Cloudy,Excellent,67.4,47
2024-01-01 01:00:00,1,Monday,1,Cloudy,Excellent,65.0,42
2024-01-01 02:00:00,2,Monday,1,Foggy,Excellent,48.9,35
2024-01-01 03:00:00,3,Monday,1,Sunny,Excellent,44.5,50
2024-01-01 04:00:00,4,Monday,1,Foggy,Excellent,75.3,27
2024-01-01 05:00:00,5,Monday,1,Sunny,Poor,60.2,26
2024-01-01 06:00:00,6,Monday,1,Rainy,Good,78.0,31
2024-01-01 07:00:00,7,Monday,1,Rainy,Poor,69.6,30
2024-01-01 08:00:00,8,Monday,1,Rainy,Good,54.6,34
2024-01-01 09:00:00,9,Monday,1,Sunny,Excellent,55.0,53
2024-01-01 10:00:00,10,Monday,1,Cloudy,Fair,70.7,35
2024-01-01 11:00:00,11,Monday,1,Cloudy,Poor,59.6,45
2024-01-01 12:00:00,12,Monday,1,Foggy,Excellent,92.0,56
2024-01-01 13:00:00,13,Monday,1,Rainy,Fair,75.3,42
2024-01-01 14:00:00,14,Monday,1,Cloudy,Excellent,81.3,59
2024-01-01 15:00:00,15,Monday,1,Cloudy,Poor,82.1,55
2024-01-01 16:00:00,16,Monday,1,Foggy,Excellent,52.1,72
2024-01-01 17:00:00,17,Monday,1,Cloudy,Excellent,73.2,70
2024-01-01 18:00:00,18,Monday,1,Sunny,Excellent,68.8,75
2024-01-01 19:00:00,19,Monday,1,Foggy,Poor,53.1,68
2024-01-01 20:00:00,20,Monday,1,Foggy,Fair,63.3,69
2024-01-01 21:00:00,21,Monday,1,Cloudy,Poor,87.2,55
2024-01-01 22:00:00,22,Monday,1,Sunny,Good,73.7,83
2024-01-01 23:00:00,23,Monday,1,Rainy,Good,49.2,68
2024-01-02 00:00:00,0,Tuesday,0,Rainy,Excellent,68.4,29
2024-01-02 01:00:00,1,Tuesday,0,Rainy,Good,84.6,30
2024-01-02 02:00:00,2,Tuesday,0,Sunny,Good,57.6,43
2024-01-02 03:00:00,3,Tuesday,0,Foggy,Good,76.4,37
2024-01-02 04:00:00,4,Tuesday,0,Sunny,Fair,75.5,30
2024-01-02 05:00:00,5,Tuesday,0,Foggy,Poor,60.7,36
2024-01-02 06:00:00,6,Tuesday,0,Rainy,Fair,46.8,15
2024-01-02 07:00:00,7,Tuesday,0,Cloudy,Excellent,55.8,40
2024-01-02 08:00:00,8,Tuesday,0,Cloudy,Good,74.6,42
2024-01-02 09:00:00,9,Tuesday,0,Foggy,Excellent,69.5,40
2024-01-02 10:00:00,10,Tuesday,0,Foggy,Poor,62.6,36
2024-01-02 11:00:00,11,Tuesday,0,Sunny,Excellent,67.5,64
2024-01-02 12:00:00,12,Tuesday,0,Foggy,Poor,62.2,42
2024-01-02 13:00:00,13,Tuesday,0,Cloudy,Poor,62.8,45
2024-01-02 14:00:00,14,Tuesday,0,Foggy,Fair,79.0,58
2024-01-02 15:00:00,15,Tuesday,0,Foggy,Good,72.1,69
2024-01-02 16:00:00,16,Tuesday,0,Sunny,Excellent,64.6,83
